Timestamp,What is your gender?,What is your age?,In which year are you currently studying?,Which branch do you belong to?,How many hours of sleep do you get on average?,Rate your quality of sleep.,How often do you take naps in a week (in days)?,Rate your physical activity level.,Rate your stress level.,What is your average number of daily steps?,How many hours do you use electronic devices before sleep?,How often do you suffer from headaches?,How often do you skip breakfast?,At what time do you eat your dinner?,"On an average, how many nights in a week do you go through without sleep?",Your feedback about our survey. 
02-07-2024 10:30,Male,18,SecondYear,Comp,0 to 5,4,0,9,10,6k-8k,1 hour,Rarely,Always,20:00-21:00,3,
02-07-2024 11:04,Male,19,SecondYear,Comp,7 to 9,8,0,5,10,6k-8k,2 hours,Rarely,Never,21:00-22:00,1,
02-07-2024 11:06,Female,19,SecondYear,Comp,7 to 9,6,1 to 3,5,7,6k-8k,2 hours,Never,Always,19:00-20:00,1,Nice survey
02-07-2024 11:13,Female,19,SecondYear,Comp,7 to 9,7,1 to 3,5,10,4k-6k,5 hours,Rarely,Never,21:00-22:00,0,I made it and I am very happy
02-07-2024 11:15,Male,20,SecondYear,Comp,5 to 7,10,0,10,1,0-2k,1 hour,Never,Rarely,19:00-20:00,0,
02-07-2024 11:38,Female,20,SecondYear,IT,7 to 9,8,6 to 7,7,10,4k-6k,3 hours,Sometimes,Never,20:00-21:00,0,
02-07-2024 11:44,Male,19,SecondYear,Comp,7 to 9,6,0,5,3,6k-8k,4 hours,Rarely,Always,20:00-21:00,0,
02-07-2024 11:52,Female,19,SecondYear,IT,5 to 7,5,0,4,5,0-2k,4 hours,Sometimes,Rarely,22:00-23:00,4,
02-07-2024 12:07,Male,19,SecondYear,Comp,5 to 7,6,1 to 3,9,9,6k-8k,3 hours,Rarely,Rarely,20:00-21:00,0,Nice
02-07-2024 12:13,Male,19,SecondYear,Comp,0 to 5,5,1 to 3,9,1,8k-10k,5 hours,Rarely,Sometimes,20:00-21:00,2,Interesting
02-07-2024 13:28,Male,20,SecondYear,Mech,5 to 7,6,1 to 3,7,7,8k-10k,5 hours,Sometimes,Often,21:00-22:00,2,
02-07-2024 13:29,Male,20,SecondYear,Comp,9,5,4 to 5,6,10,0-2k,5 hours,Always,Often,21:00-22:00,7,
02-07-2024 13:50,Male,19,SecondYear,AIML,5 to 7,5,0,10,5,Grt than 10k,4 hours,Never,Always,20:00-21:00,0,Should have also asked sleep time ??
02-07-2024 13:54,Male,20,SecondYear,AIML,5 to 7,8,4 to 5,5,5,8k-10k,3 hours,Rarely,Always,20:00-21:00,1,
02-07-2024 14:22,Female,20,SecondYear,ET,7 to 9,7,1 to 3,8,6,4k-6k,5 hours,Sometimes,Sometimes,20:00-21:00,0,
02-07-2024 14:29,Male,19,SecondYear,AIML,5 to 7,8,1 to 3,7,7,6k-8k,2 hours,Rarely,Never,21:00-22:00,0,Nada
02-07-2024 14:38,Male,20,SecondYear,Comp,5 to 7,7,1 to 3,5,5,2k-4k,1 hour,Often,Sometimes,21:00-22:00,1,
02-07-2024 15:53,Female,19,SecondYear,AIML,5 to 7,8,1 to 3,6,9,4k-6k,2 hours,Sometimes,Often,21:00-22:00,0,
02-07-2024 16:09,Male,19,SecondYear,Mech,7 to 9,8,1 to 3,4,3,6k-8k,5 hours,Rarely,Never,20:00-21:00,0,
02-07-2024 16:14,Male,18,FirstYear,IT,5 to 7,7,4 to 5,7,5,4k-6k,2 hours,Rarely,Sometimes,20:00-21:00,1,Good and helpfull
02-07-2024 16:15,Female,18,FirstYear,AIML,5 to 7,6,0,7,6,4k-6k,2 hours,Always,Always,22:00-23:00,0,
02-07-2024 16:16,Male,20,FirstYear,AIML,5 to 7,7,4 to 5,8,5,6k-8k,3 hours,Rarely,Often,20:00-21:00,1,
02-07-2024 16:17,Male,18,FirstYear,Comp,7 to 9,8,4 to 5,9,5,Grt than 10k,5 hours,Rarely,Rarely,20:00-21:00,0,Nice
02-07-2024 16:21,Female,19,SecondYear,ET,5 to 7,4,1 to 3,6,9,6k-8k,2 hours,Always,Always,20:00-21:00,1,
02-07-2024 16:21,Male,19,SecondYear,Comp,7 to 9,7,0,4,3,2k-4k,1 hour,Sometimes,Rarely,19:00-20:00,0,NA
02-07-2024 16:23,Female,19,SecondYear,ET,5 to 7,6,4 to 5,3,10,6k-8k,3 hours,Always,Always,20:00-21:00,2,
02-07-2024 16:23,Female,18,FirstYear,AIML,5 to 7,5,1 to 3,8,8,Grt than 10k,5 hours,Sometimes,Sometimes,20:00-21:00,0,Nice
02-07-2024 16:23,Male,20,SecondYear,AIML,7 to 9,6,1 to 3,2,3,4k-6k,4 hours,Rarely,Often,20:00-21:00,0,
02-07-2024 16:23,Male,19,FirstYear,AIML,7 to 9,6,0,6,9,2k-4k,5 hours,Rarely,Rarely,21:00-22:00,0,
02-07-2024 16:32,Female,20,SecondYear,AIML,5 to 7,4,1 to 3,3,8,0-2k,2 hours,Often,Always,20:00-21:00,0,
02-07-2024 16:34,Male,19,FirstYear,Mech,5 to 7,8,1 to 3,7,3,4k-6k,1 hour,Rarely,Often,19:00-20:00,0,:)
02-07-2024 16:36,Male,24,FirstYear,ChemIC,5 to 7,4,0,5,8,2k-4k,2 hours,Rarely,Rarely,21:00-22:00,1,im feeling very sleepy after this survey
02-07-2024 16:38,Male,21,ThirdYear,ChemIC,5 to 7,6,4 to 5,6,6,0-2k,1 hour,Rarely,Often,20:00-21:00,0,
02-07-2024 16:41,Male,21,BTech,IT,7 to 9,7,0,10,8,8k-10k,4 hours,Rarely,Always,19:00-20:00,0,fair
02-07-2024 16:42,Male,19,SecondYear,AIML,5 to 7,7,0,8,8,6k-8k,3 hours,Sometimes,Rarely,20:00-21:00,0,
02-07-2024 16:45,Male,18,FirstYear,Comp,5 to 7,7,4 to 5,7,7,6k-8k,4 hours,Sometimes,Sometimes,20:00-21:00,1,
02-07-2024 16:55,Male,20,SecondYear,AIML,5 to 7,5,1 to 3,3,8,0-2k,1 hour,Often,Always,20:00-21:00,0,Good 
02-07-2024 17:01,Male,18,FirstYear,Comp,5 to 7,8,6 to 7,8,6,6k-8k,2 hours,Sometimes,Often,20:00-21:00,1,
02-07-2024 17:03,Male,20,SecondYear,Comp,7 to 9,9,1 to 3,7,8,6k-8k,1 hour,Rarely,Sometimes,20:00-21:00,0,
02-07-2024 17:03,Female,18,FirstYear,AIML,7 to 9,7,1 to 3,7,7,6k-8k,1 hour,Rarely,Sometimes,20:00-21:00,0,
02-07-2024 17:04,Male,20,SecondYear,AIML,7 to 9,9,1 to 3,6,3,4k-6k,1 hour,Rarely,Never,20:00-21:00,0,
02-07-2024 17:08,Male,18,FirstYear,AIML,5 to 7,7,1 to 3,8,4,6k-8k,1 hour,Sometimes,Often,20:00-21:00,0,
02-07-2024 17:13,Male,19,SecondYear,ChemIC,5 to 7,8,0,8,6,4k-6k,3 hours,Never,Always,21:00-22:00,2,Jai shree ram
02-07-2024 17:22,Female,20,SecondYear,AIML,0 to 5,4,0,7,9,2k-4k,1 hour,Rarely,Sometimes,21:00-22:00,1,
02-07-2024 17:29,Female,19,FirstYear,ChemIC,5 to 7,8,1 to 3,4,6,6k-8k,1 hour,Often,Often,20:00-21:00,2,Good enough 
02-07-2024 17:36,Female,19,FirstYear,ChemIC,7 to 9,10,1 to 3,10,5,8k-10k,1 hour,Sometimes,Rarely,20:00-21:00,0,
02-07-2024 17:44,Female,20,SecondYear,AIML,7 to 9,7,0,5,4,4k-6k,2 hours,Sometimes,Often,20:00-21:00,0,
02-07-2024 17:44,Male,18,FirstYear,AIML,7 to 9,7,6 to 7,7,5,6k-8k,5 hours,Rarely,Always,20:00-21:00,1,
02-07-2024 17:56,Male,21,SecondYear,AIML,5 to 7,5,1 to 3,4,4,2k-4k,5 hours,Sometimes,Sometimes,21:00-22:00,0,
02-07-2024 18:18,Female,19,SecondYear,ET,9,10,4 to 5,9,7,8k-10k,2 hours,Often,Rarely,19:00-20:00,0,
02-07-2024 18:41,Female,19,SecondYear,Comp,5 to 7,8,1 to 3,7,8,8k-10k,4 hours,Rarely,Rarely,20:00-21:00,0,
02-07-2024 19:10,Female,19,SecondYear,ChemIC,5 to 7,5,0,2,8,4k-6k,1 hour,Sometimes,Rarely,20:00-21:00,0,
02-07-2024 19:14,Male,19,SecondYear,ET,5 to 7,6,0,8,8,6k-8k,3 hours,Rarely,Always,22:00-23:00,1,
02-07-2024 19:41,Male,20,SecondYear,IT,5 to 7,8,1 to 3,6,2,8k-10k,5 hours,Rarely,Sometimes,20:00-21:00,1,
02-07-2024 19:43,Male,18,FirstYear,AIML,5 to 7,6,0,5,6,2k-4k,2 hours,Often,Sometimes,19:00-20:00,0,
02-07-2024 19:56,Male,20,SecondYear,IT,0 to 5,7,0,4,7,0-2k,5 hours,Often,Often,20:00-21:00,2,
02-07-2024 20:11,Female,20,SecondYear,IT,9,10,6 to 7,6,1,6k-8k,1 hour,Rarely,Rarely,20:00-21:00,0,
02-07-2024 20:15,Male,20,SecondYear,AIML,0 to 5,4,1 to 3,4,8,6k-8k,1 hour,Often,Often,20:00-21:00,0,
02-07-2024 20:43,Female,19,SecondYear,ET,5 to 7,8,0,1,8,4k-6k,1 hour,Sometimes,Never,23:00+,0,All the best for your project 
02-07-2024 20:44,Male,18,SecondYear,ChemIC,0 to 5,4,0,8,9,8k-10k,5 hours,Rarely,Always,22:00-23:00,3,Dont join veloce
02-07-2024 21:38,Female,18,FirstYear,AIML,5 to 7,7,1 to 3,6,5,4k-6k,1 hour,Rarely,Often,21:00-22:00,1,Genuine questions were asked
02-07-2024 21:41,Male,18,FirstYear,AIML,5 to 7,8,1 to 3,7,7,Grt than 10k,1 hour,Never,Always,20:00-21:00,0,The survey was on point and included the factors about which anyone can give their honest response.
02-07-2024 23:18,Female,22,BTech,ChemIC,5 to 7,5,4 to 5,8,7,8k-10k,2 hours,Sometimes,Often,20:00-21:00,2,
02-08-2024 00:14,Male,22,BTech,AIML,5 to 7,6,1 to 3,10,8,4k-6k,2 hours,Often,Sometimes,21:00-22:00,0,What kind of this project will be are you going to create any app like sleep monitor etc. 
02-08-2024 00:22,Female,18,FirstYear,AIML,5 to 7,7,1 to 3,4,8,4k-6k,2 hours,Rarely,Rarely,21:00-22:00,1,
02-08-2024 01:05,Male,20,SecondYear,IT,5 to 7,5,1 to 3,7,5,6k-8k,4 hours,Rarely,Sometimes,21:00-22:00,0,Enlightening 
02-08-2024 01:45,Male,21,BTech,ChemIC,7 to 9,9,1 to 3,7,7,2k-4k,3 hours,Never,Often,20:00-21:00,0,
02-08-2024 07:17,Female,18,FirstYear,IT,5 to 7,6,0,6,8,2k-4k,1 hour,Rarely,Sometimes,21:00-22:00,1,
